Name,Platform,3h,6h,9h,12h,15h,18h,21h,24h,27h,30h,33h,100000h
01 Dark theme,TikTok,221,400,651,690,694,700,711,714,716,716,720,736
01 Dark theme,Instargram,20,40,120,200,321,400,412,425,455,467,472,549
03 Windows logo,TikTok,431,831,7654,23451,25431,27421,27421,27421,27422,27422,27422,27500
03 Windows logo,Instargram,31,45,150,231,345,362,376,390,402,411,416,499
04 Windows wallpaper,TikTok,120,213,512,1523,2432,3001,3014,3083,3091,3101,3107,3122
04 Windows wallpaper,Instargram,28,45,76,113,245,323,432,498,514,564,582,649
05 Games of my childhood,TikTok,2,3,5,13,21,21,24,32,32,35,37,47
05 Games of my childhood,Instargram,13,24,56,134,211,256,267,345,389,401,412,434
02 Windows lock screen,TikTok,231,404,654,701,705,708,711,714,718,721,721,729
02 Windows lock screen,Instargram,34,45,103,151,234,467,634,823,1003,1089,1095,1240
06 Windows hide icons,TikTok,2,4,12,14,17,24,26,26,26,26,26,32
06 Windows hide icons,Instargram,145,265,578,1023,2045,3890,4562,4721,4823,4921,4934,5171
Windows clipboard history,Instargram,120,324,432,621,667,821,872,987,1001,1134,1219,1482
07 Windows minimize,TikTok,3,4,5,11,14,16,18,18,23,27,31,34
07 Windows minimize,Instargram,113,243,267,431,674,931,999,1216,1312,1400,1498,1557
08 Windows recovery,TikTok,1,1,2,3,10,14,16,20,23,23,23,25
08 Windows recovery,Instargram,131,234,523,675,821,1012,1324,1543,1789,1950,1989,2084
09 Windows wifi password,TikTok,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
09 Windows wifi password,Instargram,143,321,523,702,798,1023,1521,1678,1899,2001,2089,2137
